PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"32180179","A mobile approach-avoidance task","Zech HG, Rotteveel M, van Dijk WW, van Dillen LF.","Behav Res Methods. 2020 Oct;52(5):2085-2097. doi: 10.3758/s13428-020-01379-3.","Zech HG","Behav Res Methods","2020","2020/03/18","PMC7575493","","10.3758/s13428-020-01379-3"
"32437204","Sacrificing reward to avoid threat: Characterizing PTSD in the context of a trauma-related approach-avoidance conflict task","Weaver SS, Kroska EB, Ross MC, Sartin-Tarm A, Sellnow KA, Schaumberg K, Kiehl KA, Koenigs M, Cisler JM.","J Abnorm Psychol. 2020 Jul;129(5):457-468. doi: 10.1037/abn0000528. Epub 2020 May 21.","Weaver SS","J Abnorm Psychol","2020","2020/05/22","PMC7393639","NIHMS1590075","10.1037/abn0000528"
"32719163","Hippocampal Representation of Threat Features and Behavior in a Human Approach-Avoidance Conflict Anxiety Task","Abivardi A, Khemka S, Bach DR.","J Neurosci. 2020 Aug 26;40(35):6748-6758. doi: 10.1523/JNEUROSCI.2732-19.2020. Epub 2020 Jul 21.","Abivardi A","J Neurosci","2020","2020/07/29","PMC7455211","","10.1523/JNEUROSCI.2732-19.2020"
"33390895","Arbitration of Approach-Avoidance Conflict by Ventral Hippocampus","Bryant KG, Barker JM.","Front Neurosci. 2020 Dec 17;14:615337. doi: 10.3389/fnins.2020.615337. eCollection 2020.","Bryant KG","Front Neurosci","2020","2021/01/04","PMC7773818","","10.3389/fnins.2020.615337"
"33154580","The ventral hippocampus is necessary for cue-elicited, but not outcome driven approach-avoidance conflict decisions: a novel operant choice decision-making task","Çavdaroğlu B, Riaz S, Yeung EHL, Lee ACH, Ito R.","Neuropsychopharmacology. 2021 Feb;46(3):632-642. doi: 10.1038/s41386-020-00898-z. Epub 2020 Nov 5.","Çavdaroğlu B","Neuropsychopharmacology","2021","2020/11/06","PMC8027851","","10.1038/s41386-020-00898-z"
"24832050","Assessment of mouse anxiety-like behavior in the light-dark box and open-field arena: role of equipment and procedure","Kulesskaya N, Voikar V.","Physiol Behav. 2014 Jun 22;133:30-8. doi: 10.1016/j.physbeh.2014.05.006. Epub 2014 May 14.","Kulesskaya N","Physiol Behav","2014","2014/05/17","","","10.1016/j.physbeh.2014.05.006"
"31795819","Exploring the interaction between approach-avoidance conflict and memory processing","Chu S, Thavabalasingam S, Hamel L, Aashat S, Tay J, Ito R, Lee ACH.","Memory. 2020 Jan;28(1):141-156. doi: 10.1080/09658211.2019.1696827. Epub 2019 Dec 3.","Chu S","Memory","2020","2019/12/05","","","10.1080/09658211.2019.1696827"
"31672243","Approach-Avoidance Conflict in Major Depressive Disorder: Congruent Neural Findings in Humans and Nonhuman Primates","Ironside M, Amemori KI, McGrath CL, Pedersen ML, Kang MS, Amemori S, Frank MJ, Graybiel AM, Pizzagalli DA.","Biol Psychiatry. 2020 Mar 1;87(5):399-408. doi: 10.1016/j.biopsych.2019.08.022. Epub 2019 Sep 6.","Ironside M","Biol Psychiatry","2020","2019/11/02","PMC7007869","NIHMS1539267","10.1016/j.biopsych.2019.08.022"
"31346001","The Neural Basis of Approach-Avoidance Conflict: A Model Based Analysis","Zorowitz S, Rockhill AP, Ellard KK, Link KE, Herrington T, Pizzagalli DA, Widge AS, Deckersbach T, Dougherty DD.","eNeuro. 2019 Aug 8;6(4):ENEURO.0115-19.2019. doi: 10.1523/ENEURO.0115-19.2019. Print 2019 Jul/Aug.","Zorowitz S","eNeuro","2019","2019/07/27","PMC6709212","","10.1523/ENEURO.0115-19.2019"
"32431093","Approach and avoidance bias for thin-ideal and normal-weight body shapes in anorexia nervosa","Brockmeyer T, Burdenski K, Anderle A, Voges MM, Vocks S, Schmidt H, Wünsch-Leiteritz W, Leiteritz A, Friederich HC.","Eur Eat Disord Rev. 2020 Sep;28(5):536-550. doi: 10.1002/erv.2744. Epub 2020 May 19.","Brockmeyer T","Eur Eat Disord Rev","2020","2020/05/21","","","10.1002/erv.2744"
"31055649","Measuring approach-avoidance tendencies towards food with touchscreen-based arm movements","Meule A, Richard A, Lender A, Dinic R, Brockmeyer T, Rinck M, Blechert J.","Psychol Res. 2020 Oct;84(7):1789-1800. doi: 10.1007/s00426-019-01195-1. Epub 2019 May 4.","Meule A","Psychol Res","2020","2019/05/06","PMC7479004","","10.1007/s00426-019-01195-1"
